itemLabel	femaleLabel
fotografo	fotografa
attore	attrice
scienziato	scienziata
astronomo	astronoma
consigliere	consigliera
re	regina
lavoratore	lavoratrice
diplomatico	diplomatica
corsaro	corsara
storico	storica
scrittore	scrittrice
traduttore	traduttrice
gioielliere	gioielliera
zoologo	zoologa
creatore di caratteri tipografici	creatrice di caratteri tipografici
showman	show woman
grafico	grafica
allenatore di calcio	allenatrice di calcio
colportore	colportrice
veterinario	veterinaria
inventore	inventrice
orafo	orafa
lavoro domestico	lavoratrice domestica
astrofisico	astrofisica
compositore di canzoni	compositrice di canzoni
narratore	narratrice
liutaio	liutaia
oblati	oblata
curatore	curatrice
funzionario	funzionaria
psicologo	psicologa
missionario	missionaria
amministratore delegato	amministratrice delegata
cantautore	cantautrice
produttore televisivo	produttrice televisiva
chimico	chimica
precettore	precettrice
editore musicale	editrice musicale
capotreno	capotreno
sarto	sarta
predicatore	predicatrice
tessitore	tessitrice
costruttore di chitarre	costruttrice di chitarre
allenatore di cavalli	allenatrice di cavalli
segretario	segretaria
ingegnere	ingegnera
informatico	informatica
politico	politica
politico	donna politica
pescivendolo	pescivendola
medico scrittore	medico scrittrice
professore a contratto	professoressa a contratto
statista	donna di Stato
statista	statista
poliziotto	poliziotta
impiegato	impiegata
direttore sportivo	direttrice sportiva
apicoltore	apicoltrice
arbitro di calcio	arbitra di calcio
imperatore	imperatrice
allenatore	allenatrice
profeta	profetessa
cartografo	cartografa
imprenditore	imprenditrice
governatore	governatrice
pastore	pastora
sociologo	sociologa
meteorologo	meterologa
cavaliere	cavaliera
vigile del fuoco	vigile del fuoco
ambasciatore	ambasciatrice
ballerino	ballerina
banchiere	banchiera
panettiere	panettiera
fisico	fisica
illustratore	illustratrice
mimo	mima
museologo	museologa
biografo	biografa
biologo	biologa
redattore	redattrice
educatore	educatrice
pittore di corte	pittrice di corte
libraio	libraia
miniatore	miniatrice
inviato	inviata
architetto	architetta
uomo d'affari	donna d'affari
marittimo	marittima
poeta	poetessa
tutore	tutrice
geografo	geografa
commercialista	commercialista
mugnaio	mugnaia
direttore artistico	direttrice artistica
armatore	armatrice
araldista	araldista
geologo	geologa
tecnico farmaceutico	tecnica farmaceutica
pittore	pittrice
deputato	deputata
calzolaio	calzolaia
astrologo	astrologa
paparazzo	paparazza
cuoco	cuoca
cameriere	cameriera
orologiaio	orologiaia
direttore d'orchestra	direttrice d'orchestra
agrimensore	agrimensora
costruttore di strumenti	costruttrice di strumenti
botanico	botanica
direttore tecnico	direttrice tecnica
topografo	topografa
dermatologo	dermatologa
artista performativo	artista performativa
attore televisivo	attrice televisiva
curatore letterario	curatrice letteraria
editore	editrice
guaritore	guaritrice
regista cinematografico	regista cinematografica
comico	comica
ciambellano	ciambellana
giornalista televisivo	giornalista televisiva
capitano di ventura	condottiera
sellaio	sellaia
direttore teatrale	direttrice teatrale
ingegnere progettista	ingegnera progettista
agronomo	agronoma
direttore artistico	direttrice artistica
intagliatore	intagliatrice
tatuatore	tatuatrice
ingegnere meccanico	ingegnera meccanica
ornitologo	ornitologa
tipografo	tipografa
teologo	teologa
giocatore di baseball	giocatrice di baseball
tecnico	tecnica
burattinaio	burattinaia
ginecologo	ginecologa
matematico	matematica
stampatore	stampatrice
mercenario	mercenaria
bibliotecario	bibliotecaria
doppiatore	doppiatrice
incisore	incisora
